AOI,z,SNR,pos,type,channel
1,0,12.126436268697583,pos1,real,red
1,1,32.861979890239596,pos1,real,red
1,2,46.05172666928702,pos1,real,red
1,3,71.79927375516503,pos1,real,red
1,4,85.89928238432464,pos1,real,red
1,5,164.5149001715552,pos1,real,red
1,6,312.8041453469337,pos1,real,red
1,7,157.53556903052868,pos1,real,red
1,8,185.63283363999477,pos1,real,red
1,9,156.00631152682243,pos1,real,red
1,10,92.62536744770696,pos1,real,red
1,11,3.036480718352129,pos1,real,red
1,12,76.44747048197593,pos1,real,red
1,13,13.178725860968688,pos1,real,red
1,14,11.92825920227503,pos1,real,red
1,15,14.971836348214154,pos1,real,red
1,16,13.231900550818372,pos1,real,red
2,0,6.608568675367502,pos1,real,red
2,1,8.74208612558105,pos1,real,red
2,2,8.811392735480936,pos1,real,red
2,3,10.562481525154698,pos1,real,red
2,4,7.4074714905413215,pos1,real,red
2,5,50.490079595716246,pos1,real,red
2,6,116.77909700497607,pos1,real,red
2,7,67.37166789500552,pos1,real,red
2,8,151.10062941011086,pos1,real,red
2,9,150.01081133843405,pos1,real,red
2,10,93.89012291752344,pos1,real,red
2,11,1.5640094599968557,pos1,real,red
2,12,6.729942169078536,pos1,real,red
2,13,5.796906953468597,pos1,real,red
2,14,6.070700542044591,pos1,real,red
2,15,7.251098873109678,pos1,real,red
2,16,6.685040714885007,pos1,real,red
3,0,4.770955112839688,pos1,real,red
3,1,5.623164152984069,pos1,real,red
3,2,5.674436435286313,pos1,real,red
3,3,6.0877100816717915,pos1,real,red
3,4,4.315767045476992,pos1,real,red
3,5,66.31526836928536,pos1,real,red
3,6,168.39298679770528,pos1,real,red
3,7,68.32021724686022,pos1,real,red
3,8,77.55125283960025,pos1,real,red
3,9,1.3290292652641842e-05,pos1,real,red
3,10,0.9108026130963092,pos1,real,red
3,11,0.8562019935883861,pos1,real,red
3,12,3.9439841044744286,pos1,real,red
3,13,3.500116682760997,pos1,real,red
3,14,3.4235864227801525,pos1,real,red
3,15,4.806152617398341,pos1,real,red
3,16,4.655530348878159,pos1,real,red
4,0,4.940328683181964,pos1,real,red
4,1,8.588545286796816,pos1,real,red
4,2,9.930538287408043,pos1,real,red
4,3,11.326616481226173,pos1,real,red
4,4,7.481762958075433,pos1,real,red
4,5,47.77209823468742,pos1,real,red
4,6,126.00441836705504,pos1,real,red
4,7,64.37730321293883,pos1,real,red
4,8,110.1137251032891,pos1,real,red
4,9,98.37864463284329,pos1,real,red
4,10,1.0583050329681865,pos1,real,red
4,11,1.0954347965387012,pos1,real,red
4,12,5.381929819452087,pos1,real,red
4,13,4.457841687453616,pos1,real,red
4,14,4.153061065882949,pos1,real,red
4,15,5.71590827292648,pos1,real,red
4,16,5.227757180824949,pos1,real,red
5,0,4.252999995213831,pos1,real,red
5,1,5.826568123226397,pos1,real,red
5,2,5.883045207135481,pos1,real,red
5,3,6.291818627336196,pos1,real,red
5,4,4.334017273959516,pos1,real,red
5,5,4.006828782022041,pos1,real,red
5,6,3.8184861221985122,pos1,real,red
5,7,0.737065338165014,pos1,real,red
5,8,38.235538900851594,pos1,real,red
5,9,76.91285467752006,pos1,real,red
5,10,40.86357180233502,pos1,real,red
5,11,0.6972270427381174,pos1,real,red
5,12,3.8270253930274247,pos1,real,red
5,13,3.5072158057398135,pos1,real,red
5,14,3.1688837553957323,pos1,real,red
5,15,4.316844124048765,pos1,real,red
5,16,4.573340305151047,pos1,real,red
1,0,6566161.632537842,pos1,ideal,red
1,0,24.92212581509857,pos2,real,red
1,1,28.93760221243887,pos2,real,red
1,2,32.18447272325776,pos2,real,red
1,3,11.893023295394382,pos2,real,red
1,4,40.65601741399765,pos2,real,red
1,5,91.58125768214086,pos2,real,red
1,6,49.95722577849395,pos2,real,red
1,7,143.88860105401812,pos2,real,red
1,8,214.2540222108023,pos2,real,red
1,9,209.7368383001521,pos2,real,red
1,10,126.70684933991755,pos2,real,red
1,11,162.04962483414243,pos2,real,red
1,12,9.1672847575772,pos2,real,red
1,13,7.518824633833417,pos2,real,red
1,14,14.95130691249031,pos2,real,red
1,15,13.190009183542161,pos2,real,red
1,16,12.07609599003514,pos2,real,red
2,0,16.539613646187856,pos2,real,red
2,1,17.83007973553733,pos2,real,red
2,2,20.160674344017057,pos2,real,red
2,3,9.984960483280343,pos2,real,red
2,4,11.072610282285117,pos2,real,red
2,5,62.26975871647465,pos2,real,red
2,6,1.786170391894145,pos2,real,red
2,7,74.60201383163498,pos2,real,red
2,8,157.83550447499198,pos2,real,red
2,9,165.31348237658727,pos2,real,red
2,10,105.61422930118012,pos2,real,red
2,11,167.92045948084055,pos2,real,red
2,12,54.89827800142645,pos2,real,red
2,13,6.238566077704389,pos2,real,red
2,14,12.77604800967694,pos2,real,red
2,15,11.465630564937774,pos2,real,red
2,16,9.937524877503042,pos2,real,red
3,0,7.842972580658561,pos2,real,red
3,1,8.0609472961167,pos2,real,red
3,2,8.52050208266903,pos2,real,red
3,3,3.410649934229216,pos2,real,red
3,4,3.248192033768485,pos2,real,red
3,5,3.554037583843832,pos2,real,red
3,6,0.6946167991033114,pos2,real,red
3,7,46.012297716507994,pos2,real,red
3,8,62.587356878567455,pos2,real,red
3,9,0.43301465802277894,pos2,real,red
3,10,0.675766489728649,pos2,real,red
3,11,3.326557862762439,pos2,real,red
3,12,3.2926550161038657,pos2,real,red
3,13,3.1310594789779467,pos2,real,red
3,14,6.4123597321533055,pos2,real,red
3,15,5.677451609920257,pos2,real,red
3,16,5.283777526813203,pos2,real,red
4,0,4.734408442294582,pos2,real,red
4,1,5.026670631987534,pos2,real,red
4,2,5.132124736401012,pos2,real,red
4,3,2.0868485891152413,pos2,real,red
4,4,2.129348831429663,pos2,real,red
4,5,2.320303543014498,pos2,real,red
4,6,0.3959119172995492,pos2,real,red
4,7,0.4027772236680438,pos2,real,red
4,8,0.3535808813271332,pos2,real,red
4,9,0.3840789858159437,pos2,real,red
4,10,0.3854615515598028,pos2,real,red
4,11,2.036761370029038,pos2,real,red
4,12,1.893638506921137,pos2,real,red
4,13,1.852891236955266,pos2,real,red
4,14,4.049992349257091,pos2,real,red
4,15,3.9285046052807755,pos2,real,red
4,16,3.7999168882290535,pos2,real,red
5,0,5.48579490620134,pos2,real,red
5,1,5.980176213272876,pos2,real,red
5,2,6.335199498346144,pos2,real,red
5,3,2.710949849979549,pos2,real,red
5,4,2.7938307038969032,pos2,real,red
5,5,3.058935275697894,pos2,real,red
5,6,0.5269676842135964,pos2,real,red
5,7,0.5065479994034061,pos2,real,red
5,8,48.37847491941488,pos2,real,red
5,9,0.5635390447354078,pos2,real,red
5,10,0.5892335096858141,pos2,real,red
5,11,2.9974919550254153,pos2,real,red
5,12,2.555482688120271,pos2,real,red
5,13,2.250639792713931,pos2,real,red
5,14,5.101791286817793,pos2,real,red
5,15,5.026154981014901,pos2,real,red
5,16,4.688112837473392,pos2,real,red
1,0,63021492.00439453,pos2,ideal,red
1,0,8.11070341609323,pos3,real,red
1,1,12.305316631788981,pos3,real,red
1,2,12.86859388469888,pos3,real,red
1,3,14.981788437286095,pos3,real,red
1,4,7.301822578854766,pos3,real,red
1,5,7.836227566741735,pos3,real,red
1,6,44.76939908908224,pos3,real,red
1,7,1.4494574493939372,pos3,real,red
1,8,56.6487799586589,pos3,real,red
1,9,139.11652600670203,pos3,real,red
1,10,151.34344423877943,pos3,real,red
1,11,101.77306959779172,pos3,real,red
1,12,196.55762486960865,pos3,real,red
1,13,6.378008809485545,pos3,real,red
1,14,5.659480156384433,pos3,real,red
1,15,10.71608631751313,pos3,real,red
1,16,8.836461193280531,pos3,real,red
2,0,6.85113076158084,pos3,real,red
2,1,10.571343092692985,pos3,real,red
2,2,9.958801856587176,pos3,real,red
2,3,9.972426182521286,pos3,real,red
2,4,4.870904732300757,pos3,real,red
2,5,5.527025687341898,pos3,real,red
2,6,51.651607208900785,pos3,real,red
2,7,0.9681357114609923,pos3,real,red
2,8,54.797705613256475,pos3,real,red
2,9,92.88482647240956,pos3,real,red
2,10,60.691449413985595,pos3,real,red
2,11,0.7980521196357745,pos3,real,red
2,12,46.414454725561946,pos3,real,red
2,13,4.165666782297812,pos3,real,red
2,14,4.011245528500321,pos3,real,red
2,15,7.591742711211466,pos3,real,red
2,16,6.790719406472889,pos3,real,red
1,0,18050132.751464844,pos3,ideal,red
