channel,pos,AOI,mean_SNR,sd_SNR,max_SNR,min_SNR,best_z,quality
red,pos1,1,85.33249995846234,85.06188743569415,312.8041453469337,3.036480718352129,6,Excellent
red,pos1,2,41.521888672145586,53.70407435939168,151.10062941011086,1.5640094599968557,8,Excellent
red,pos1,3,25.244008597351726,45.29795248439394,168.39298679770528,1.3290292652641842e-05,6,Excellent
red,pos1,4,30.3531893590323,42.539835326070644,126.00441836705504,1.0583050329681865,6,Excellent
red,pos1,5,12.426666545650857,20.4258143321633,76.91285467752006,0.6972270427381174,9,Excellent
red,pos2,1,70.21595189043134,72.86703275438384,214.2540222108023,7.518824633833417,8,Excellent
red,pos2,2,53.3085649762447,59.892700779512964,167.92045948084055,1.786170391894145,11,Excellent
red,pos2,3,10.127306781173354,17.06377988280415,62.587356878567455,0.43301465802277894,8,Excellent
red,pos3,1,46.273693541302606,61.772094239508256,196.55762486960865,1.4494574493939372,12,Excellent
red,pos3,2,22.26571988274815,27.679437773491063,92.88482647240956,0.7980521196357745,9,Excellent
