AOI,z,SNR,pos,type,channel
1,0,17.74611960859718,pos1,real,blue
1,1,18.85918419548282,pos1,real,blue
1,2,27.90189340846778,pos1,real,blue
1,3,38.22562308126618,pos1,real,blue
1,4,109.88534637834164,pos1,real,blue
1,5,225.94569285163135,pos1,real,blue
1,6,149.92859208381662,pos1,real,blue
1,7,235.9197009591352,pos1,real,blue
1,8,193.30903789392892,pos1,real,blue
1,9,82.03169944554794,pos1,real,blue
1,10,2.6142776549498388,pos1,real,blue
1,11,46.148232030960884,pos1,real,blue
1,12,11.036793975805146,pos1,real,blue
1,13,10.765700703321961,pos1,real,blue
1,14,11.89822165798588,pos1,real,blue
1,15,10.291612517437645,pos1,real,blue
1,16,8.930436367055934,pos1,real,blue
2,0,13.935528025824318,pos1,real,blue
2,1,13.51068743105618,pos1,real,blue
2,2,14.569546011370468,pos1,real,blue
2,3,9.49139436249063,pos1,real,blue
2,4,8.770652340092308,pos1,real,blue
2,5,97.25421925252178,pos1,real,blue
2,6,59.268846727629274,pos1,real,blue
2,7,150.26316615079455,pos1,real,blue
2,8,153.88988798379938,pos1,real,blue
2,9,103.27332830903481,pos1,real,blue
2,10,1.9636841881666214,pos1,real,blue
2,11,52.684019553970266,pos1,real,blue
2,12,8.256054886048648,pos1,real,blue
2,13,7.608497725227524,pos1,real,blue
2,14,8.995982632061299,pos1,real,blue
2,15,7.38662739112479,pos1,real,blue
2,16,7.0888877268959,pos1,real,blue
1,0,13.956695333776882,pos1,real,red
1,1,14.225116538764297,pos1,real,red
1,2,15.474580905717147,pos1,real,red
1,3,7.916698346386188,pos1,real,red
1,4,7.533961441529139,pos1,real,red
1,5,7.54073794827226,pos1,real,red
1,6,1.4111211692177679,pos1,real,red
1,7,46.429119823803575,pos1,real,red
1,8,102.2691621407257,pos1,real,red
1,9,118.34440417639341,pos1,real,red
1,10,86.35330275967854,pos1,real,red
1,11,118.6002709594161,pos1,real,red
1,12,6.527235172011469,pos1,real,red
1,13,6.213277115673951,pos1,real,red
1,14,10.663483571757336,pos1,real,red
1,15,10.205011486765999,pos1,real,red
1,16,9.77026942502624,pos1,real,red
2,0,12.356780221209046,pos1,real,red
2,1,12.623707948788432,pos1,real,red
2,2,12.82913949015653,pos1,real,red
2,3,6.823872712306864,pos1,real,red
2,4,6.794375553526251,pos1,real,red
2,5,7.376598999294835,pos1,real,red
2,6,1.476656922726017,pos1,real,red
2,7,1.5397357638021119,pos1,real,red
2,8,68.52806583151691,pos1,real,red
2,9,95.60330600199819,pos1,real,red
2,10,79.86560554009772,pos1,real,red
2,11,185.33040166563023,pos1,real,red
2,12,6.529564075594264,pos1,real,red
2,13,6.028532294348356,pos1,real,red
2,14,10.427964928433013,pos1,real,red
2,15,9.58280959112916,pos1,real,red
2,16,9.344091339053385,pos1,real,red
1,0,65684326.171875,pos1,ideal,blue
1,0,26224744.79675293,pos1,ideal,red
1,0,7.022466384742518,pos2,real,blue
1,1,11.974989024923763,pos2,real,blue
1,2,10.685727791221396,pos2,real,blue
1,3,11.859326507274377,pos2,real,blue
1,4,8.518011187249039,pos2,real,blue
1,5,8.364010410091314,pos2,real,blue
1,6,79.03428089248798,pos2,real,blue
1,7,1.5244132120568348,pos2,real,blue
1,8,138.56460105793357,pos2,real,blue
1,9,151.26215748216157,pos2,real,blue
1,10,60.93178859672363,pos2,real,blue
1,11,1.8688945108023736,pos2,real,blue
1,12,68.55594486954466,pos2,real,blue
1,13,7.129805401287862,pos2,real,blue
1,14,6.188226412741189,pos2,real,blue
1,15,8.12554317057595,pos2,real,blue
1,16,7.322961848446962,pos2,real,blue
2,0,10.800937851887692,pos2,real,blue
2,1,17.824976097800246,pos2,real,blue
2,2,18.71151646885418,pos2,real,blue
2,3,21.601205555224958,pos2,real,blue
2,4,16.437963880555078,pos2,real,blue
2,5,67.15320870502154,pos2,real,blue
2,6,168.83512571153503,pos2,real,blue
2,7,110.41138727286855,pos2,real,blue
2,8,223.9556208443607,pos2,real,blue
2,9,245.2158061566598,pos2,real,blue
2,10,169.12042971860905,pos2,real,blue
2,11,70.84952188069215,pos2,real,blue
2,12,123.59713624492828,pos2,real,blue
2,13,54.64579092524464,pos2,real,blue
2,14,13.20379816406919,pos2,real,blue
2,15,14.792869773308206,pos2,real,blue
2,16,11.805393421466743,pos2,real,blue
1,0,7.436062273330941,pos2,real,red
1,1,8.462363629973806,pos2,real,red
1,2,8.581503320284229,pos2,real,red
1,3,8.614454841706346,pos2,real,red
1,4,4.824253688933711,pos2,real,red
1,5,5.0428035469675905,pos2,real,red
1,6,4.96304547768589,pos2,real,red
1,7,0.9035086101227688,pos2,real,red
1,8,0.9326410881937177,pos2,real,red
1,9,32.64540290807639,pos2,real,red
1,10,64.7785365070315,pos2,real,red
1,11,58.56749561526259,pos2,real,red
1,12,166.0465292199854,pos2,real,red
1,13,5.066906316397942,pos2,real,red
1,14,4.860293411166511,pos2,real,red
1,15,8.428297979971614,pos2,real,red
1,16,7.739215783470098,pos2,real,red
2,0,10.506774966085565,pos2,real,red
2,1,15.71822923991798,pos2,real,red
2,2,14.592641886350572,pos2,real,red
2,3,16.670133297182147,pos2,real,red
2,4,9.277730450638659,pos2,real,red
2,5,10.0491417823759,pos2,real,red
2,6,10.88730928338757,pos2,real,red
2,7,2.2585850256363935,pos2,real,red
2,8,53.57250269532072,pos2,real,red
2,9,135.44263253827043,pos2,real,red
2,10,168.11274689616403,pos2,real,red
2,11,150.96119708130888,pos2,real,red
2,12,297.8569311828083,pos2,real,red
2,13,119.10631319967348,pos2,real,red
2,14,8.62832204175155,pos2,real,red
2,15,14.344945002784499,pos2,real,red
2,16,12.073608853460215,pos2,real,red
1,0,73233367.91992188,pos2,ideal,blue
1,0,45011344.90966797,pos2,ideal,red
