AOI,z,SNR,pos,type,channel
1,0,9.01894436217637,pos1,real,red
1,1,8.821867217371958,pos1,real,red
1,2,9.16950656540157,pos1,real,red
1,3,4.276178649654477,pos1,real,red
1,4,4.1994517054794045,pos1,real,red
1,5,4.240045275379289,pos1,real,red
1,6,0.8423124776790064,pos1,real,red
1,7,0.837506088813213,pos1,real,red
1,8,63.39070810520164,pos1,real,red
1,9,59.48540512472202,pos1,real,red
1,10,0.7865265894951537,pos1,real,red
1,11,4.143345928924627,pos1,real,red
1,12,4.035011369996576,pos1,real,red
1,13,3.9028234490491123,pos1,real,red
1,14,7.450527449600045,pos1,real,red
1,15,7.205601349398494,pos1,real,red
1,16,6.8967213683617565,pos1,real,red
2,0,6.369555907898804,pos1,real,red
2,1,6.677478867528309,pos1,real,red
2,2,6.827480605178003,pos1,real,red
2,3,3.0569621932319917,pos1,real,red
2,4,3.188944962629176,pos1,real,red
2,5,3.253089719004699,pos1,real,red
2,6,0.5435963547946777,pos1,real,red
2,7,0.5209111471165706,pos1,real,red
2,8,0.5234613315777603,pos1,real,red
2,9,0.5572941863341487,pos1,real,red
2,10,0.5782117133460191,pos1,real,red
2,11,3.0225194686527286,pos1,real,red
2,12,2.755532174420609,pos1,real,red
2,13,2.550717167857009,pos1,real,red
2,14,5.620857440118357,pos1,real,red
2,15,5.506466416157636,pos1,real,red
2,16,5.08855684600511,pos1,real,red
3,0,3.63840372164214,pos1,real,red
3,1,3.7757904895435286,pos1,real,red
3,2,3.8440689439089604,pos1,real,red
3,3,1.6414568128132876,pos1,real,red
3,4,1.591495536685823,pos1,real,red
3,5,1.5787493069572163,pos1,real,red
3,6,0.21157243359832498,pos1,real,red
3,7,0.23933715797132663,pos1,real,red
3,8,0.23666263673373122,pos1,real,red
3,9,0.23717604435053882,pos1,real,red
3,10,0.24306896314894152,pos1,real,red
3,11,1.6550533904303915,pos1,real,red
3,12,1.6110449460782392,pos1,real,red
3,13,1.600623723191041,pos1,real,red
3,14,3.6417884578511965,pos1,real,red
3,15,3.4522548624484255,pos1,real,red
3,16,3.312841165505809,pos1,real,red
1,0,12011603.355407715,pos1,ideal,red
1,0,15.58747651734024,pos2,real,red
1,1,16.228432890541004,pos2,real,red
1,2,17.916471688077003,pos2,real,red
1,3,8.288104742905478,pos2,real,red
1,4,7.926463909813206,pos2,real,red
1,5,75.9950964457129,pos2,real,red
1,6,51.602158897127964,pos2,real,red
1,7,138.73716434971655,pos2,real,red
1,8,147.2450465415733,pos2,real,red
1,9,104.98362071841002,pos2,real,red
1,10,1.4598410551131757,pos2,real,red
1,11,6.24995122460162,pos2,real,red
1,12,5.459363812325165,pos2,real,red
1,13,5.137552576798375,pos2,real,red
1,14,9.944760817977937,pos2,real,red
1,15,10.010306622094385,pos2,real,red
1,16,9.492799043281774,pos2,real,red
2,0,5.3374115240532065,pos2,real,red
2,1,5.160792592069769,pos2,real,red
2,2,5.332296213291948,pos2,real,red
2,3,2.259358969468148,pos2,real,red
2,4,2.4345819029925413,pos2,real,red
2,5,2.5141593695286137,pos2,real,red
2,6,0.38714038613096763,pos2,real,red
2,7,0.32049746158857845,pos2,real,red
2,8,0.35164346207014774,pos2,real,red
2,9,0.34512656541758824,pos2,real,red
2,10,0.27252578500380636,pos2,real,red
2,11,1.8274288998296226,pos2,real,red
2,12,1.7621675588322923,pos2,real,red
2,13,1.7061611216016217,pos2,real,red
2,14,3.657690528627864,pos2,real,red
2,15,3.518020591857227,pos2,real,red
2,16,3.515974996540393,pos2,real,red
1,0,36851390.83862305,pos2,ideal,red
1,0,5.593845291101225,pos3,real,red
1,1,9.283233735521447,pos3,real,red
1,2,10.030142781039125,pos3,real,red
1,3,11.640723948429075,pos3,real,red
1,4,4.8168737269904325,pos3,real,red
1,5,68.74086394856451,pos3,real,red
1,6,152.016797858976,pos3,real,red
1,7,56.21921819781646,pos3,real,red
1,8,62.57852414748545,pos3,real,red
1,9,0.7426765732803862,pos3,real,red
1,10,0.7353966177883025,pos3,real,red
1,11,0.7292180633934947,pos3,real,red
1,12,3.3519348201160772,pos3,real,red
1,13,3.2203297650284477,pos3,real,red
1,14,3.188446182104564,pos3,real,red
1,15,6.488873922328178,pos3,real,red
1,16,5.881547512012639,pos3,real,red
2,0,6.532509048602423,pos3,real,red
2,1,10.063290969909813,pos3,real,red
2,2,11.522897724181998,pos3,real,red
2,3,12.624599552535098,pos3,real,red
2,4,4.482755676253329,pos3,real,red
2,5,45.52163773513473,pos3,real,red
2,6,126.89184304526076,pos3,real,red
2,7,61.83019086500026,pos3,real,red
2,8,94.54486953449687,pos3,real,red
2,9,81.00762528665186,pos3,real,red
2,10,0.8169759450301177,pos3,real,red
2,11,0.8358250462386185,pos3,real,red
2,12,4.364719522653976,pos3,real,red
2,13,3.9457659233442635,pos3,real,red
2,14,3.670533982468489,pos3,real,red
2,15,7.5300509741231245,pos3,real,red
2,16,6.861103813077403,pos3,real,red
3,0,6.056938323641152,pos3,real,red
3,1,10.26358104403211,pos3,real,red
3,2,10.643015773686145,pos3,real,red
3,3,10.59932929016809,pos3,real,red
3,4,4.191680025662167,pos3,real,red
3,5,4.351817471151047,pos3,real,red
3,6,87.96062097476454,pos3,real,red
3,7,36.61527510272579,pos3,real,red
3,8,67.8913494833879,pos3,real,red
3,9,58.228381346047506,pos3,real,red
3,10,0.8121252665886657,pos3,real,red
3,11,0.8224075692011629,pos3,real,red
3,12,3.783487886755138,pos3,real,red
3,13,3.5431542519605066,pos3,real,red
3,14,3.5259575171259807,pos3,real,red
3,15,7.276302774299707,pos3,real,red
3,16,6.435021351816351,pos3,real,red
1,0,10129461.288452148,pos3,ideal,red
